Start date, Duration, Assigned task, Task state 
Jul 1  2019 at 12:35:42 PM,25,Learn Data Science,Done 
Jul 1  2019 at 1:42:40 PM,25,Learn Data Science,Done 
Jul 1  2019 at 2:16:12 PM,25,P2E,Done 
Jul 1  2019 at 5:40:04 PM,25,#Makeover Monday 2019,Done 
Jul 1  2019 at 6:10:22 PM,25,#Makeover Monday 2019,Done 
Jul 1  2019 at 7:44:14 PM,25,#Makeover Monday 2019,Done 
Jul 1  2019 at 8:25:08 PM,25,#Makeover Monday 2019,Done 
Jul 1  2019 at 9:13:59 PM,25,#Makeover Monday 2019,Done 
Jul 3  2019 at 4:20:20 PM,25,Learn Data Science,Done 
Jul 3  2019 at 5:00:12 PM,25,Learn Data Science,Done 
Jul 3  2019 at 6:13:22 PM,25,Learn Data Science,Done 
Jul 3  2019 at 6:52:21 PM,25,Skillshare,Done 
Jul 4  2019 at 1:35:06 PM,25,Learn Data Science,Done 
Jul 4  2019 at 2:07:31 PM,25,Skillshare,Done 
Jul 4  2019 at 4:22:17 PM,25,Read 2019,Done 
Jul 6  2019 at 7:28:02 PM,25,Read 2019,Done 
Jul 6  2019 at 8:12:41 PM,25,Learn Data Science,Done 
Jul 6  2019 at 9:09:34 PM,25,Learn Data Science,Done 
Jul 6  2019 at 10:59:44 PM,25,Learn Data Science,Done 
Jul 7  2019 at 2:18:39 PM,25,Bullet Journal,Done 
Jul 7  2019 at 2:52:42 PM,25,Bullet Journal,Done 
Jul 7  2019 at 3:32:51 PM,25,Learn Data Science,Done 
Jul 7  2019 at 4:23:57 PM,25,P2E,Done 
Jul 7  2019 at 5:03:56 PM,25,P2E,Done 
Jul 7  2019 at 5:41:22 PM,25,P2E,Done 
Jul 7  2019 at 6:26:50 PM,25,Learn Data Science,Done 
Jul 7  2019 at 7:09:44 PM,25,P2E,Done 
Jul 7  2019 at 10:11:42 PM,25,P2E,Done 
Jul 7  2019 at 10:38:29 PM,25,P2E,Done 
Jul 7  2019 at 11:20:51 PM,25,P2E,Done 
Jul 8  2019 at 9:48:23 AM,25,P2E,Done 
Jul 8  2019 at 10:36:03 AM,25,P2E,Done 
Jul 8  2019 at 11:27:58 AM,25,P2E,Done 
Jul 8  2019 at 12:03:56 PM,25,Learn Data Science,Done 
Jul 8  2019 at 12:46:18 PM,25,Learn Data Science,Done 
Jul 8  2019 at 6:10:10 PM,25,P2E,Done 
Jul 12  2019 at 8:22:39 AM,25,P2E,Done 
Jul 12  2019 at 8:05:27 PM,25,P2E,Done 
Jul 12  2019 at 8:33:59 PM,25,P2E,Done 
Jul 12  2019 at 9:15:58 PM,25,P2E,Done 
Jul 12  2019 at 9:56:43 PM,25,P2E,Done 
Jul 14  2019 at 5:28:01 PM,25,P2E,Done 
Jul 14  2019 at 6:16:06 PM,25,Bullet Journal,Done 
Jul 15  2019 at 2:35:10 PM,25,P2E,Done 
Jul 15  2019 at 3:22:18 PM,25,P2E,Done 
Jul 15  2019 at 4:08:38 PM,25,P2E,Done 
Jul 15  2019 at 5:08:54 PM,25,P2E,Done 
Jul 16  2019 at 10:36:10 AM,25,P2E,Done 
Jul 16  2019 at 11:19:36 AM,25,Volunteering,Done 
Jul 16  2019 at 12:50:32 PM,25,P2E,Done 
Jul 16  2019 at 3:32:39 PM,25,P2E,Done 
Jul 16  2019 at 4:09:17 PM,25,Learn Data Science,Done 
Jul 16  2019 at 4:46:04 PM,25,Learn Data Science,Done 
Jul 16  2019 at 5:19:13 PM,25,Learn Data Science,Done 
Jul 16  2019 at 6:16:21 PM,25,P2E,Done 
Jul 16  2019 at 6:54:58 PM,25,P2E,Done 
Jul 16  2019 at 7:26:13 PM,25,P2E,Done 
Jul 16  2019 at 8:09:42 PM,25,P2E,Done 
Jul 16  2019 at 9:16:36 PM,25,Read 2019,Done 
Jul 17  2019 at 8:14:37 AM,25,Volunteering,Done 
Jul 17  2019 at 8:42:58 AM,25,Volunteering,Done 
Jul 17  2019 at 11:02:11 AM,25,Volunteering,Done 
Jul 17  2019 at 11:42:32 AM,25,Volunteering,Done 
Jul 17  2019 at 2:58:05 PM,25,P2E,Done 
Jul 17  2019 at 4:36:05 PM,25,P2E,Done 
Jul 17  2019 at 5:15:21 PM,25,P2E,Done 
Jul 17  2019 at 5:40:28 PM,25,P2E,Done 
Jul 17  2019 at 6:27:51 PM,25,P2E,Done 
Jul 21  2019 at 6:12:10 PM,25,Bullet Journal,Done 
Jul 21  2019 at 6:56:32 PM,25,Volunteering,Done 
Jul 21  2019 at 7:40:07 PM,25,P2E,Done 
Jul 21  2019 at 8:09:24 PM,25,P2E,Done 
Jul 21  2019 at 8:39:11 PM,25,P2E,Done 
Jul 22  2019 at 7:47:23 AM,25,Write 2019,Done 
Jul 22  2019 at 10:17:10 AM,25,P2E,Done 
Jul 22  2019 at 1:58:17 PM,25,P2E,Done 
Jul 22  2019 at 3:40:19 PM,25,P2E,Done 
Jul 23  2019 at 5:56:39 AM,25,P2E,Done 
Jul 23  2019 at 6:37:36 AM,25,P2E,Done 
Jul 23  2019 at 7:55:01 AM,25,P2E,Done 
Jul 23  2019 at 8:35:21 AM,25,P2E,Done 
Jul 23  2019 at 4:54:38 PM,25,P2E,Done 
Jul 23  2019 at 5:21:01 PM,25,P2E,Done 
Jul 23  2019 at 6:36:42 PM,25,P2E,Done 
Jul 23  2019 at 7:07:07 PM,25,P2E,Done 
Jul 23  2019 at 7:44:51 PM,25,P2E,Done 
Jul 24  2019 at 7:57:47 AM,25,Read 2019,Done 
Jul 24  2019 at 8:44:35 AM,25,P2E,Done 
Jul 24  2019 at 9:32:44 AM,25,P2E,Done 
Jul 25  2019 at 5:23:36 PM,25,P2E,Done 
Jul 25  2019 at 6:05:57 PM,25,P2E,Done 
Jul 25  2019 at 6:40:36 PM,25,P2E,Done 
Jul 25  2019 at 7:26:11 PM,25,P2E,Done 
Jul 25  2019 at 7:51:18 PM,25,P2E,Done 
Jul 25  2019 at 8:29:53 PM,25,P2E,Done 
Jul 26  2019 at 8:35:17 AM,25,P2E,Done 
Jul 28  2019 at 3:10:07 PM,25,P2E,Done 
Jul 28  2019 at 3:54:00 PM,25,Bullet Journal,Done 
Jul 28  2019 at 4:28:34 PM,25,P2E,Done 
Jul 28  2019 at 5:37:07 PM,25,Read 2019,Done 
Jul 28  2019 at 6:34:36 PM,25,Learn Data Science,Done 
Jul 28  2019 at 7:00:51 PM,25,Learn Data Science,Done 
Jul 29  2019 at 7:40:05 AM,25,P2E,Done 
Jul 29  2019 at 8:17:42 AM,25,P2E,Done 
Jul 29  2019 at 11:00:49 AM,25,P2E,Done 
Jul 29  2019 at 11:33:17 AM,25,Read 2019,Done 
Jul 30  2019 at 9:44:37 AM,25,Learn Data Science,Done 
Jul 30  2019 at 8:53:46 PM,25,Learn Data Science,Done 
Jul 30  2019 at 9:50:32 PM,25,Learn Data Science,Done 
Jul 31  2019 at 10:09:28 AM,25,P2E,Done 
Jul 31  2019 at 11:19:37 AM,25,P2E,Done 
Jul 31  2019 at 6:51:27 PM,25,Learn Data Science,Done 
Jul 31  2019 at 7:35:23 PM,25,Learn Data Science,Done 
Jul 31  2019 at 8:11:16 PM,25,Learn Data Science,Done 
Jul 31  2019 at 8:37:00 PM,25,Learn Data Science,Done 
Jul 31  2019 at 9:46:21 PM,25,Write 2019,Done 
Aug 1  2019 at 7:57:46 AM,25,P2E,Done 
Aug 1  2019 at 8:28:42 AM,25,P2E,Done 
Aug 1  2019 at 9:40:53 AM,25,Learn Data Science,Done 
Aug 1  2019 at 10:13:05 AM,25,Learn Data Science,Done 
Aug 1  2019 at 10:52:26 AM,25,P2E,Done 
Aug 1  2019 at 11:37:00 AM,25,P2E,Done 
Aug 3  2019 at 7:36:30 PM,25,Learn Data Science,Done 
Aug 3  2019 at 8:29:51 PM,25,Learn Data Science,Done 
Aug 3  2019 at 9:00:42 PM,25,Learn Data Science,Done 
Aug 3  2019 at 9:30:27 PM,25,Learn Data Science,Done 
Aug 3  2019 at 11:07:34 PM,25,Data Viz 2019,Done 
Aug 3  2019 at 11:40:36 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 11:09:35 AM,25,Bullet Journal,Done 
Aug 4  2019 at 11:38:10 AM,25,Bullet Journal,Done 
Aug 4  2019 at 12:14:48 PM,25,Bullet Journal,Done 
Aug 4  2019 at 5:35:45 PM,25,Learn Data Science,Done 
Aug 4  2019 at 6:00:48 PM,25,Learn Data Science,Done 
Aug 4  2019 at 7:55:28 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 8:25:17 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 8:58:52 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 9:27:00 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 9:59:16 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 10:33:18 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 11:04:07 PM,25,Data Viz 2019,Done 
Aug 4  2019 at 11:41:41 PM,25,Data Viz 2019,Done 
Aug 5  2019 at 12:12:49 AM,25,Data Viz 2019,Done 
Aug 5  2019 at 12:43:39 AM,25,Data Viz 2019,Done 
Aug 5  2019 at 1:19:16 AM,25,Data Viz 2019,Done 
Aug 5  2019 at 12:57:17 PM,25,P2E,Done 
Aug 5  2019 at 3:44:25 PM,25,P2E,Done 
Aug 5  2019 at 4:17:12 PM,25,P2E,Done 
Aug 5  2019 at 6:17:43 PM,25,P2E,Done 
Aug 5  2019 at 6:48:20 PM,25,P2E,Done 
Aug 5  2019 at 7:55:12 PM,25,P2E,Done 
Aug 5  2019 at 8:31:54 PM,25,P2E,Done 
Aug 5  2019 at 9:03:51 PM,25,P2E,Done 
Aug 5  2019 at 9:41:08 PM,25,P2E,Done 
Aug 7  2019 at 8:26:51 AM,25,Read 2019,Done 
Aug 7  2019 at 8:59:45 AM,25,Data Viz 2019,Done 
Aug 7  2019 at 9:39:20 AM,25,Data Viz 2019,Done 
Aug 8  2019 at 5:58:46 AM,25,Volunteering,Done 
Aug 8  2019 at 6:26:46 AM,25,Volunteering,Done 
Aug 8  2019 at 7:35:39 AM,25,Learn Data Science,Done 
Aug 8  2019 at 8:24:57 AM,25,Learn Data Science,Done 
Aug 8  2019 at 11:59:42 AM,25,Read 2019,Done 
Aug 10  2019 at 7:05:50 PM,25,Bullet Journal,Done 
Aug 10  2019 at 7:31:17 PM,25,Write 2019,Done 
Aug 10  2019 at 9:25:46 PM,25,Learn Data Science,Done 
Aug 10  2019 at 11:03:19 PM,25,Data Viz 2019,Done 
Aug 10  2019 at 11:34:14 PM,25,Data Viz 2019,Done 
Aug 11  2019 at 2:34:40 PM,25,Learn Tableau,Done 
Aug 12  2019 at 9:56:15 AM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 10:31:18 AM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 10:56:41 AM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 11:22:12 AM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 11:50:00 AM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 12:15:20 PM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 12:56:26 PM,25,#Makeover Monday 2019,Done 
Aug 12  2019 at 2:12:36 PM,25,#Makeover Monday 2019,Done 
Aug 13  2019 at 7:08:53 AM,25,Read 2019,Done 
Aug 13  2019 at 8:22:12 AM,25,Primerica,Done 
Aug 13  2019 at 9:02:57 AM,25,Primerica,Done 
Aug 13  2019 at 9:43:10 AM,25,Primerica,Done 
Aug 13  2019 at 11:16:34 AM,25,Primerica,Done 
Aug 13  2019 at 11:47:51 AM,25,Primerica,Done 
Aug 13  2019 at 12:42:05 PM,25,Volunteering,Done 
Aug 13  2019 at 1:16:07 PM,25,Volunteering,Done 
Aug 13  2019 at 1:44:09 PM,25,Volunteering,Done 
Aug 13  2019 at 2:23:35 PM,25,Volunteering,Done 
Aug 13  2019 at 2:53:32 PM,25,Volunteering,Done 
Aug 13  2019 at 3:27:03 PM,25,Volunteering,Done 
Aug 13  2019 at 3:52:16 PM,25,Volunteering,Done 
Aug 13  2019 at 4:25:49 PM,25,Volunteering,Done 
Aug 13  2019 at 5:03:40 PM,25,Volunteering,Done 
Aug 13  2019 at 9:46:43 PM,25,P2E,Done 
Aug 13  2019 at 10:32:58 PM,25,P2E,Done 
Aug 14  2019 at 9:34:14 PM,25,Read 2019,Done 
Aug 14  2019 at 11:51:00 PM,25,P2E,Done 
Aug 15  2019 at 12:16:07 AM,25,P2E,Done 
Aug 15  2019 at 8:45:25 AM,25,P2E,Done 
Aug 15  2019 at 9:15:36 AM,25,P2E,Done 
Aug 15  2019 at 9:53:17 AM,25,P2E,Done 
Aug 15  2019 at 10:23:54 AM,25,P2E,Done 
Aug 15  2019 at 11:40:28 AM,25,Read 2019,Done 
Aug 15  2019 at 12:45:56 PM,25,Primerica,Done 
Aug 15  2019 at 1:21:38 PM,25,Primerica,Done 
Aug 15  2019 at 1:53:44 PM,25,Primerica,Done 
Aug 15  2019 at 2:34:58 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 3:42:31 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 4:48:36 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 5:20:05 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 5:50:19 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 6:29:10 PM,25,#Makeover Monday 2019,Done 
Aug 15  2019 at 9:45:40 PM,25,Volunteering,Done 
Aug 15  2019 at 10:18:34 PM,25,Volunteering,Done 
Aug 15  2019 at 10:53:47 PM,25,Write 2019,Done 
Aug 15  2019 at 11:24:43 PM,25,Write 2019,Done 
Aug 16  2019 at 6:14:24 AM,25,Write 2019,Done 
Aug 16  2019 at 6:59:00 AM,25,Write 2019,Done 
Aug 18  2019 at 7:07:36 PM,25,Bullet Journal,Done 
Aug 18  2019 at 7:40:29 PM,25,Write 2019,Done 
Aug 18  2019 at 8:30:13 PM,25,Write 2019,Done 
Aug 18  2019 at 9:06:43 PM,25,P2E,Done 
Aug 19  2019 at 7:01:38 AM,25,P2E,Done 
Aug 19  2019 at 2:40:23 PM,25,P2E,Done 
Aug 19  2019 at 4:49:49 PM,25,#Makeover Monday 2019,Done 
Aug 19  2019 at 5:33:42 PM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 8:53:27 AM,25,P2E,Done 
Aug 20  2019 at 9:42:48 AM,25,P2E,Done 
Aug 20  2019 at 10:08:06 AM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 10:48:32 AM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 11:26:08 AM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 12:28:13 PM,25,P2E,Done 
Aug 20  2019 at 2:00:01 PM,25,P2E,Done 
Aug 20  2019 at 2:59:18 PM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 3:34:11 PM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 5:07:57 PM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 9:48:25 PM,25,#Makeover Monday 2019,Done 
Aug 20  2019 at 10:40:17 PM,25,#Makeover Monday 2019,Done 
Aug 21  2019 at 7:42:06 AM,25,Write 2019,Done 
Aug 21  2019 at 8:35:01 AM,25,P2E,Done 
Aug 21  2019 at 12:08:27 PM,25,P2E,Done 
Aug 21  2019 at 12:43:28 PM,25,P2E,Done 
Aug 21  2019 at 1:25:33 PM,25,P2E,Done 
Aug 21  2019 at 3:11:05 PM,25,P2E,Done 
Aug 21  2019 at 3:54:17 PM,25,P2E,Done 
Aug 21  2019 at 4:32:33 PM,25,Data Viz 2019,Done 
Aug 21  2019 at 5:00:34 PM,25,Data Viz 2019,Done 
Aug 21  2019 at 5:47:27 PM,25,Data Viz 2019,Done 
Aug 22  2019 at 9:24:10 AM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 9:55:58 AM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 10:34:48 AM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 11:12:05 AM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 12:05:26 PM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 2:33:04 PM,25,#Makeover Monday 2019,Done 
Aug 22  2019 at 5:20:52 PM,25,P2E,Done 
Aug 22  2019 at 5:57:11 PM,25,P2E,Done 
Aug 22  2019 at 9:27:21 PM,25,Read 2019,Done 
Aug 22  2019 at 10:18:01 PM,25,Read 2019,Done 
Aug 23  2019 at 6:03:15 AM,25,P2E,Done 
Aug 23  2019 at 6:35:44 AM,25,P2E,Done 
Aug 23  2019 at 7:21:50 AM,25,P2E,Done 
Aug 23  2019 at 9:04:52 AM,25,P2E,Done 
Aug 23  2019 at 9:44:34 AM,25,P2E,Done 
Aug 23  2019 at 11:13:31 AM,25,P2E,Done 
Aug 23  2019 at 6:33:25 PM,25,Read 2019,Done 
Aug 23  2019 at 7:16:38 PM,25,Read 2019,Done 
Aug 24  2019 at 6:03:44 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 6:40:52 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 7:19:03 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 7:50:30 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 8:33:56 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 9:05:38 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 9:39:07 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 10:20:26 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 10:56:19 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 11:21:27 PM,25,Data Viz 2019,Done 
Aug 24  2019 at 11:46:32 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 12:11:53 AM,25,Data Viz 2019,Done 
Aug 25  2019 at 11:23:37 AM,25,Read 2019,Done 
Aug 25  2019 at 11:58:01 AM,25,Data Viz 2019,Done 
Aug 25  2019 at 12:24:06 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 12:52:50 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 1:18:48 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 1:44:19 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 7:31:16 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 8:18:03 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 8:59:05 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 9:29:30 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 10:05:53 PM,25,Data Viz 2019,Done 
Aug 25  2019 at 10:33:21 PM,25,Data Viz 2019,Done 
Aug 26  2019 at 6:01:39 AM,25,Write 2019,Done 
Aug 26  2019 at 6:33:24 AM,25,Read 2019,Done 
Aug 26  2019 at 7:06:55 AM,25,Read 2019,Done 
Aug 26  2019 at 10:43:44 AM,25,Bullet Journal,Done 
Aug 26  2019 at 11:11:16 AM,25,P2E,Done 
Aug 26  2019 at 2:43:33 PM,25,P2E,Done 
Aug 26  2019 at 3:26:09 PM,25,P2E,Done 
Aug 26  2019 at 4:40:15 PM,25,#Makeover Monday 2019,Done 
Aug 26  2019 at 5:14:22 PM,25,#Makeover Monday 2019,Done 
Aug 26  2019 at 5:56:17 PM,25,#Makeover Monday 2019,Done 
Aug 26  2019 at 6:57:20 PM,25,#Makeover Monday 2019,Done 
Aug 26  2019 at 7:33:40 PM,25,#Makeover Monday 2019,Done 
Aug 26  2019 at 8:04:22 PM,25,Write 2019,Done 
Aug 28  2019 at 8:01:05 AM,25,Read 2019,Done 
Aug 28  2019 at 9:00:18 AM,25,P2E,Done 
Aug 28  2019 at 9:47:16 AM,25,P2E,Done 
Aug 28  2019 at 11:48:41 AM,25,#Makeover Monday 2019,Done 
Aug 28  2019 at 12:15:46 PM,25,#Makeover Monday 2019,Done 
Aug 29  2019 at 8:51:23 AM,25,P2E,Done 
Aug 29  2019 at 9:16:33 AM,25,Read 2019,Done 
Aug 29  2019 at 9:44:41 AM,25,P2E,Done 
Aug 29  2019 at 10:09:48 AM,25,Learn Data Science,Done 
Aug 29  2019 at 10:53:40 AM,25,Learn Data Science,Done 
Aug 29  2019 at 11:33:30 AM,25,#Makeover Monday 2019,Done 
Aug 29  2019 at 12:13:23 PM,25,#Makeover Monday 2019,Done 
Aug 29  2019 at 6:09:00 PM,25,#Makeover Monday 2019,Done 
Aug 29  2019 at 6:52:52 PM,25,#Makeover Monday 2019,Done 
Aug 29  2019 at 7:34:46 PM,25,Data Viz 2019,Done 
Aug 30  2019 at 8:40:34 AM,25,P2E,Done 
Aug 30  2019 at 9:43:57 PM,25,Bullet Journal,Done 
Aug 30  2019 at 10:18:46 PM,25,Bullet Journal,Done 
Aug 31  2019 at 1:01:56 PM,25,Data Viz 2019,Done 
Aug 31  2019 at 4:11:02 PM,25,Data Viz 2019,Done 
Aug 31  2019 at 8:19:17 PM,25,Data Viz 2019,Done 
Aug 31  2019 at 9:52:44 PM,25,Data Viz 2019,Done 
Aug 31  2019 at 10:34:49 PM,25,Data Viz 2019,Done 
Sep 2  2019 at 2:25:49 PM,25,Learn Data Science,Done 
Sep 2  2019 at 3:02:49 PM,25,#Makeover Monday 2019,Done 
Sep 2  2019 at 3:30:37 PM,25,#Makeover Monday 2019,Done 
Sep 2  2019 at 4:00:31 PM,25,#Makeover Monday 2019,Done 
Sep 2  2019 at 4:51:45 PM,25,#Makeover Monday 2019,Done 
Sep 2  2019 at 5:41:37 PM,25,Primerica,Done 
Sep 2  2019 at 7:20:05 PM,25,Read 2019,Done 
Sep 2  2019 at 10:11:41 PM,25,Write 2019,Done 
Sep 2  2019 at 10:38:11 PM,25,Write 2019,Done 
Sep 2  2019 at 11:13:58 PM,25,Write 2019,Done 
Sep 3  2019 at 9:29:51 AM,25,Read 2019,Done 
Sep 3  2019 at 10:08:37 AM,25,Learn Data Science,Done 
Sep 3  2019 at 11:18:07 AM,25,Learn Data Science,Done 
Sep 3  2019 at 5:08:48 PM,25,Bullet Journal,Done 
Sep 3  2019 at 9:52:57 PM,25,Bullet Journal,Done 
Sep 3  2019 at 10:26:21 PM,25,Bullet Journal,Done 
Sep 4  2019 at 6:15:51 AM,25,Read 2019,Done 
Sep 4  2019 at 6:52:36 AM,25,Read 2019,Done 
Sep 5  2019 at 7:26:47 AM,25,P2E,Done 
Sep 5  2019 at 7:52:59 AM,25,Read 2019,Done 
Sep 6  2019 at 7:29:34 AM,25,Data Viz 2019,Done 
Sep 6  2019 at 7:54:40 AM,25,Data Viz 2019,Done 
Sep 6  2019 at 11:40:06 AM,25,Data Viz 2019,Done 
Sep 6  2019 at 12:17:49 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 5:31:33 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 6:20:32 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 6:58:09 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 7:32:37 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 8:33:28 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 9:13:38 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 10:01:14 PM,25,Data Viz 2019,Done 
Sep 7  2019 at 11:06:12 PM,25,Data Viz 2019,Done 
Sep 8  2019 at 5:12:52 PM,25,Bullet Journal,Done 
Sep 8  2019 at 7:30:04 PM,25,Data Viz 2019,Done 
Sep 8  2019 at 8:29:58 PM,25,Write 2019,Done 
Sep 8  2019 at 9:00:51 PM,25,Write 2019,Done 
Sep 8  2019 at 9:28:39 PM,25,Write 2019,Done 
Sep 8  2019 at 10:10:17 PM,25,Write 2019,Done 
Sep 8  2019 at 10:58:30 PM,25,Write 2019,Done 
Sep 8  2019 at 11:31:22 PM,25,Write 2019,Done 
Sep 9  2019 at 7:20:05 AM,25,Read 2019,Done 
Sep 10  2019 at 6:53:45 AM,25,Read 2019,Done 
Sep 10  2019 at 7:30:23 AM,25,Read 2019,Done 
Sep 10  2019 at 8:13:45 PM,25,Read 2019,Done 
Sep 11  2019 at 6:23:04 AM,25,Write 2019,Done 
Sep 11  2019 at 6:48:14 AM,25,Write 2019,Done 
Sep 11  2019 at 12:28:28 PM,25,Write 2019,Done 
Sep 14  2019 at 8:35:03 AM,25,Read 2019,Done 
Sep 14  2019 at 9:59:58 AM,25,Bullet Journal,Done 
Sep 14  2019 at 8:41:52 PM,25,Learn Tableau,Done 
Sep 15  2019 at 8:54:13 AM,25,Write 2019,Done 
Sep 15  2019 at 10:17:14 AM,25,Bullet Journal,Done 
Sep 15  2019 at 12:03:06 PM,25,Learn Data Science,Done 
Sep 15  2019 at 3:06:26 PM,25,#Makeover Monday 2019,Done 
Sep 15  2019 at 4:00:06 PM,25,Communication,Done 
Sep 15  2019 at 4:57:44 PM,25,Data Viz 2019,Done 
Sep 15  2019 at 5:26:33 PM,25,Learn Data Science,Done 
Sep 15  2019 at 6:11:28 PM,25,Read 2019,Done 
Sep 15  2019 at 6:38:36 PM,25,Read 2019,Done 
Sep 15  2019 at 7:21:45 PM,25,Read 2019,Done 
Sep 16  2019 at 9:59:44 AM,25,Read 2019,Done 
Sep 16  2019 at 10:24:57 AM,25,Learn Power BI,Done 
Sep 16  2019 at 11:11:25 AM,25,Learn Power BI,Done 
Sep 16  2019 at 11:36:43 AM,25,Learn Power BI,Done 
Sep 17  2019 at 6:15:46 AM,25,Read 2019,Done 
Sep 17  2019 at 6:40:54 AM,25,Read 2019,Done 
Sep 17  2019 at 8:54:36 AM,25,Research,Done 
Sep 17  2019 at 10:24:21 AM,25,Research,Done 
Sep 17  2019 at 11:11:05 AM,25,Research,Done 
Sep 17  2019 at 12:00:51 PM,25,Data Viz 2019,Done 
Sep 17  2019 at 10:04:55 PM,25,Data Viz 2019,Done 
Sep 18  2019 at 7:13:18 AM,25,Read 2019,Done 
Sep 18  2019 at 2:08:48 PM,25,Learn Tableau,Done 
Sep 18  2019 at 4:16:13 PM,25,Data Viz 2019,Done 
Sep 20  2019 at 8:25:48 AM,25,Data Viz 2019,Done 
Sep 20  2019 at 8:51:18 AM,25,Data Viz 2019,Done 
Sep 20  2019 at 9:16:42 AM,25,Data Viz 2019,Done 
Sep 20  2019 at 10:17:36 AM,25,Data Viz 2019,Done 
Sep 21  2019 at 4:11:01 PM,25,Communication,Done 
Sep 21  2019 at 4:40:52 PM,25,Communication,Done 
Sep 21  2019 at 5:23:33 PM,25,Read 2019,Done 
Sep 21  2019 at 6:30:19 PM,25,Read 2019,Done 
Sep 23  2019 at 7:04:01 AM,25,Write 2019,Done 
Sep 23  2019 at 11:19:06 AM,25,Learn Visual Studio,Done 
Sep 23  2019 at 8:22:20 PM,25,Read 2019,Done 
Sep 24  2019 at 10:29:45 AM,25,Learn Tableau,Done 
Sep 26  2019 at 1:42:44 PM,25,Learn Tableau,Done 
Sep 26  2019 at 2:20:27 PM,25,Learn Tableau,Done 
Sep 26  2019 at 7:53:53 PM,25,Data Viz 2019,Done 
Sep 26  2019 at 8:29:27 PM,25,Data Viz 2019,Done 
Sep 26  2019 at 9:48:14 PM,25,Data Viz 2019,Done 
Sep 26  2019 at 10:40:15 PM,25,Data Viz 2019,Done 
Sep 26  2019 at 11:12:57 PM,25,Data Viz 2019,Done 
Sep 26  2019 at 11:50:42 PM,25,Data Viz 2019,Done 
Sep 27  2019 at 9:58:14 PM,25,Bullet Journal,Done 
Sep 27  2019 at 10:24:34 PM,25,Bullet Journal,Done 
Sep 28  2019 at 9:52:57 AM,25,Bullet Journal,Done 
Sep 28  2019 at 12:00:36 PM,25,Bullet Journal,Done 
Sep 28  2019 at 1:32:58 PM,25,Read 2019,Done 
Sep 28  2019 at 2:32:03 PM,25,Read 2019,Done 
