Start date, Duration, Assigned task, Task state 
Dec 28  2017 at 8:37:23 PM,25,Read The First 20 hours,Done 
Dec 28  2017 at 10:20:13 PM,25,Read The First 20 hours,Done 
Dec 30  2017 at 4:49:26 PM,25,Read The First 20 hours,Done 
Dec 30  2017 at 5:22:25 PM,25,The truthful art,Done 
Dec 30  2017 at 5:56:21 PM,25,The truthful art,Done 
Dec 30  2017 at 7:45:33 PM,25,Bullet journal,Done 
Dec 30  2017 at 10:13:43 PM,25,Bullet Journal,Done 
Dec 31  2017 at 6:01:28 PM,25,Bullet Journal,Done 
Dec 31  2017 at 6:52:21 PM,25,Bullet Journal,Done 
Dec 31  2017 at 7:18:25 PM,25,Bullet Journal,Done 
Dec 31  2017 at 7:47:00 PM,25,Bullet Journal,Done 
Jan 1  2018 at 3:50:41 PM,25,The truthful art,Done 
Jan 1  2018 at 4:23:33 PM,25,Learn Tableau,Done 
Jan 1  2018 at 4:58:26 PM,25,Read The First 20 hours,Done 
Jan 1  2018 at 5:31:40 PM,25,Read The First 20 hours,Done 
Jan 1  2018 at 6:28:36 PM,25,Read The First 20 hours,Done 
Jan 1  2018 at 8:46:23 PM,25,Learn Tableau,Done 
Jan 2  2018 at 8:13:16 AM,25,Write,Done 
Jan 2  2018 at 12:11:59 PM,25,Review Data Book,Done 
Jan 2  2018 at 12:41:18 PM,25,Review Data Book,Done 
Jan 2  2018 at 2:56:50 PM,25,Review Data Book,Done 
Jan 2  2018 at 4:03:04 PM,25,Review Data Book,Done 
Jan 2  2018 at 4:33:41 PM,25,Review Data Book,Done 
Jan 2  2018 at 5:08:08 PM,25,Review Data Book,Done 
Jan 3  2018 at 9:05:44 AM,25,Review Data Book,Done 
Jan 3  2018 at 9:30:53 AM,25,Review Data Book,Done 
Jan 3  2018 at 10:01:12 AM,25,Review Data Book,Done 
Jan 3  2018 at 10:31:30 AM,25,Review Data Book,Done 
Jan 3  2018 at 11:14:45 AM,25,Review Data Book,Done 
Jan 3  2018 at 11:49:22 AM,25,Review Data Book,Done 
Jan 3  2018 at 12:40:52 PM,25,Review Data Book,Done 
Jan 3  2018 at 1:06:07 PM,25,Review Data Book,Done 
Jan 3  2018 at 1:33:31 PM,25,Data Request,Done 
Jan 3  2018 at 2:14:59 PM,25,Data Request,Done 
Jan 3  2018 at 2:40:18 PM,25,Data Request,Done 
Jan 3  2018 at 3:05:25 PM,25,Data Request,Done 
Jan 3  2018 at 3:49:18 PM,25,Data Request,Done 
Jan 3  2018 at 4:20:55 PM,25,Data Request,Done 
Jan 3  2018 at 5:36:55 PM,25,Write,Done 
Jan 4  2018 at 9:51:01 AM,25,Data Request,Done 
Jan 4  2018 at 10:27:07 AM,25,Data Request,Done 
Jan 4  2018 at 10:52:17 AM,25,Data Request,Done 
Jan 4  2018 at 11:22:32 AM,25,Data Request,Done 
Jan 4  2018 at 11:47:48 AM,25,Data Request,Done 
Jan 4  2018 at 12:59:22 PM,25,Data Request,Done 
Jan 4  2018 at 1:53:02 PM,25,Data Request,Done 
Jan 4  2018 at 3:53:22 PM,25,Data Request,Done 
Jan 4  2018 at 4:39:42 PM,25,Data Request,Done 
Jan 5  2018 at 8:37:34 AM,25,Data Request,Done 
Jan 5  2018 at 9:05:06 AM,25,Data Request,Done 
Jan 5  2018 at 9:47:49 AM,25,Data Request,Done 
Jan 5  2018 at 10:12:57 AM,25,Data Request,Done 
Jan 5  2018 at 10:55:17 AM,25,Data Request,Done 
Jan 5  2018 at 11:26:52 AM,25,Data Request,Done 
Jan 5  2018 at 1:06:43 PM,25,Data Request,Done 
Jan 5  2018 at 2:38:29 PM,25,The truthful art,Done 
Jan 5  2018 at 7:25:14 PM,25,Writing Down Book,Done 
Jan 5  2018 at 8:15:06 PM,25,Writing Down Book,Done 
Jan 6  2018 at 2:54:05 PM,25,Learn Tableau,Done 
Jan 6  2018 at 3:26:49 PM,25,Learn Tableau,Done 
Jan 6  2018 at 4:02:39 PM,25,The truthful art,Done 
Jan 6  2018 at 4:42:25 PM,25,Learn Tableau,Done 
Jan 6  2018 at 5:33:15 PM,25,Learn Tableau,Done 
Jan 8  2018 at 8:59:13 AM,25,Media Notes,Done 
Jan 8  2018 at 9:28:53 AM,25,Media Notes,Done 
Jan 8  2018 at 9:59:24 AM,25,Media Notes,Done 
